Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-05-18T23:00:00.000Z,7295.6497288231,7361.2576328893,7490.7942004206,7218.2606681079
BTC,2019-05-19T22:59:59.000Z,8221.2593953546,7285.4214269558,8242.3575083983,7267.2109184077
BTC,2019-05-20T22:59:59.000Z,7917.0124987984,8221.2654730703,8296.5456029187,7581.108489471
BTC,2019-05-21T22:59:59.000Z,7961.1287431622,7984.511102994,8092.6791543296,7811.2772223591
BTC,2019-05-22T22:59:59.000Z,7723.9038796248,7961.5198801948,8018.7545463135,7511.1139242967
BTC,2019-05-23T22:59:59.000Z,7903.8469103955,7723.894266781,7973.2306311433,7478.095034704
BTC,2019-05-24T23:00:00.000Z,8038.5067907549,7871.3758712149,8171.8008380369,7792.4338135911
BTC,2019-05-25T22:59:59.000Z,8089.5701634982,7990.9198159167,8130.5776342088,7935.7438911661
BTC,2019-05-26T22:59:59.000Z,8653.1423680221,8090.0465263258,8780.7820298591,7889.0706759973
BTC,2019-05-27T23:00:00.000Z,8800.3466061527,8653.1518022683,8937.2464912039,8621.5721918502
BTC,2019-05-28T22:59:59.000Z,8719.3314849999,8776.5657880978,8819.6662969235,8555.5908335332
BTC,2019-05-29T22:59:59.000Z,8672.4001072907,8721.3476412347,8756.2424429279,8430.1298903369
BTC,2019-05-30T22:59:59.000Z,8287.0402563223,8665.8396573792,9084.1499973709,8025.5864761456
BTC,2019-05-31T23:00:00.000Z,8513.2038819334,8285.4963935396,8544.6432253438,8120.0894792356
BTC,2019-06-01T22:59:59.000Z,8588.4795049694,8514.3959265461,8622.7299806059,8455.8604098955
BTC,2019-06-02T22:59:59.000Z,8744.2655607165,8589.1696417012,8830.1821538398,8523.2427413602
BTC,2019-06-03T23:00:00.000Z,8474.0482291229,8744.1092236193,8765.7434622966,8342.3176873528
BTC,2019-06-04T22:59:59.000Z,7645.5725139007,8108.1595685263,8108.1595685263,7453.269352399
BTC,2019-06-05T23:00:00.000Z,7790.3211349552,7644.7987582348,7922.561139389,7586.3616207288
BTC,2019-06-06T23:00:00.000Z,7730.8817258862,7794.1959242062,7920.5270486164,7459.129075662
BTC,2019-06-07T23:00:00.000Z,8030.2560794416,7730.1859182601,8134.1668204893,7723.5396780797
BTC,2019-06-08T23:00:00.000Z,7949.425798625,8030.2338560247,8074.5935388233,7790.8998343964
BTC,2019-06-09T23:00:00.000Z,7600.9224920885,7930.8922727102,7964.0245354802,7525.5926088831
BTC,2019-06-10T23:00:00.000Z,7954.0062377205,7600.9225047785,8064.9001353225,7530.5341004825
BTC,2019-06-11T22:59:59.000Z,7903.6252503798,8014.2309190982,8048.2226611274,7714.610306452
BTC,2019-06-12T22:59:59.000Z,8151.7886797815,7903.6146316397,8249.4160670662,7824.1140843363
BTC,2019-06-13T22:59:59.000Z,8256.7200994618,8166.6682357284,8330.6643517846,8052.1542252186
BTC,2019-06-14T23:00:00.000Z,8667.7879539941,8257.2776927416,8694.0229660645,8172.4002771628
BTC,2019-06-15T22:59:59.000Z,8836.1684129096,8698.1445368264,8897.9960229216,8622.4717352461
BTC,2019-06-16T22:59:59.000Z,9061.5404606385,8836.2496521451,9381.8197140209,8800.9956650855
BTC,2019-06-17T22:59:59.000Z,9346.9750871976,9061.5935249702,9409.3424621723,8969.770912568
BTC,2019-06-18T23:00:00.000Z,9012.4878496522,9337.754058545,9357.7732559976,8943.0971053156
BTC,2019-06-19T23:00:00.000Z,9259.1236383919,9011.4696762403,9285.4167158334,8967.5817148785
BTC,2019-06-20T22:59:59.000Z,9559.9006885716,9260.682723057,9599.9153349725,9198.7752567805
BTC,2019-06-21T22:59:58.000Z,9906.407965055,9559.9006591147,9941.5270774672,9521.83210207
BTC,2019-06-22T22:59:59.000Z,10461.4121688088,10206.490342332,11190.567798926,10058.4162662428
BTC,2019-06-23T22:59:59.000Z,10843.5709747797,10461.3904159387,11307.6935457487,10460.9988943702
BTC,2019-06-24T22:59:59.000Z,10996.4597495353,10843.6017701213,11104.1005162022,10539.812439096
BTC,2019-06-25T22:59:58.000Z,11665.4096837335,10996.4532821709,11704.6218958232,10951.0250198162
BTC,2019-06-26T22:59:59.000Z,12444.9258599878,11668.6658570188,13879.2377057928,11625.8810901961
BTC,2019-06-27T23:00:00.000Z,11086.2688286526,12444.92234283,13328.5803127139,10314.7538734517
BTC,2019-06-28T23:00:00.000Z,12316.9530120207,11086.2357150219,12402.0435115035,10789.984139661
BTC,2019-06-29T22:59:59.000Z,12024.0809722046,12360.1870979135,12381.0417016965,11368.274496108
BTC,2019-06-30T22:59:59.000Z,10932.3105071733,12024.0945221636,12187.3066985264,10837.5600652629
BTC,2019-07-01T23:00:00.000Z,10454.6838183291,10932.3074892823,11196.9957508963,9986.2568489798
BTC,2019-07-02T23:00:00.784Z,10800.1301399504,10454.7118899557,10933.8150039945,9676.5904002565
BTC,2019-07-03T23:00:00.000Z,11942.2402247929,10778.9100586114,11967.6544411845,10691.6694447365
BTC,2019-07-04T23:00:00.000Z,11645.5246063376,11942.241317492,12044.0795511745,11488.8306588501
BTC,2019-07-05T22:59:59.000Z,10946.2090547386,11138.7710294887,11440.8557302556,10771.3548417135
BTC,2019-07-06T23:00:00.000Z,11219.0460004352,10946.20856257,11735.5709361591,10834.7758711611
BTC,2019-07-07T22:59:59.000Z,11422.1144680283,11219.0495076997,11593.1177650972,11101.9151585759
BTC,2019-07-08T22:59:59.000Z,12335.9993946484,11422.1411587568,12354.4630323692,11335.1639503056
BTC,2019-07-09T23:00:00.000Z,12575.904067439,12335.9915530625,12815.6790357556,12127.712182121
BTC,2019-07-10T23:00:00.000Z,12054.1837934894,12585.2419743944,13175.6877367065,11566.8983942385
BTC,2019-07-11T22:59:59.000Z,11324.1446969751,12054.182805678,12188.1778430704,11011.0411202521
BTC,2019-07-12T22:59:59.000Z,11802.9599635884,11324.2018284256,11919.9220616201,11100.0885124471
BTC,2019-07-13T22:59:59.000Z,11279.6027356333,11796.7721497272,11830.8083720294,10826.035155074
BTC,2019-07-14T22:59:59.000Z,10506.3958273087,11402.9673057725,11463.2425199775,10316.7494887593
BTC,2019-07-15T22:59:59.000Z,10934.4827395525,10506.3482141274,10954.8240496507,9872.0272432166
BTC,2019-07-16T23:00:00.000Z,9490.4105157548,10934.4726429778,11075.3528200893,9404.3521963551
BTC,2019-07-17T23:00:00.000Z,9733.1321340919,9490.4381272323,9972.2451099106,9085.4894989784
BTC,2019-07-18T23:00:00.000Z,10603.3488731713,9693.4865106171,10740.9887019,9282.6429998444
BTC,2019-07-19T22:59:59.000Z,10466.2609381509,10603.3431456849,10797.6384591308,10133.0943109498
BTC,2019-07-20T23:00:00.000Z,10983.2160020296,10533.9632516606,11035.4259323072,10368.8010671024
